Hotel name,Hotel id,Hotel url_tripadvisor,Address,phone,Coded hotel link,Has email,Calification (/50),ranking,specific calification,time stamp
1. Grand Hyatt Bogota,13288526,https://www.tripadvisor.com/Hotel_Review-g294074-d13288526-Reviews-Grand_Hyatt_Bogota-Bogota.html,"Calle 24 A, 57-60, Bogota 111321 Colombia",(601) 6541234,YU5TXy9Db21tZXJjZT9wPVRBQkFJbmRlcGVuZGVudEhvdGVscyZzcmM9MCZnZW89MTMyODg1MjYmZnJvbT1Ib3RlbF9SZXZpZXcmYXJlYT0mc2xvdD0xJm1hdGNoSUQ9MSZvb3M9MCZjbnQ9MSZzaWxvPTMwMzU2JmJ1Y2tldD04NzUxNzEmdWJ1Y2tldD04NzUxNzEmbnJhbms9MSZjcmFuaz0xJmNsdD1DTEQmdG09MjUxNDMxMTc0Jm1hbmFnZWQ9ZmFsc2UmY2FwcGVkPWZhbHNlJmdvc294PTVfM1k2VVl3d0dqZ3dfYzdoRXdJa1c2SURsT2VHSklWMDJGLUhjUmRmWWc1V2duMkw5RXNGMXJVekdXckwyMHc1b0QwbDlWOWt1US1lcUpiTVlUSzRRJmFkdWx0cz0yJmNoaWxkX3JtX2FnZXM9JmluRGF5PTEmb3V0RGF5PTImcm9vbXM9MSZpbk1vbnRoPTEmaW5ZZWFyPTIwMjMmb3V0TW9udGg9MSZvdXRZZWFyPTIwMjMmZGVmX2Q9dHJ1ZSZiYXBpZD0xJmNzPTE3Nzg2ZjU1ZjgzOGNhYzAyNGZjNjJiN2RjMDYyNzUxMF94RGw=,Yes,45,#9 of 432 hotels in Bogota,"{'Location': '4.6', 'Cleanliness': '4.9', 'Service': '4.7', 'Value': '4.6'}",1671519575.1409836
2. Hilton Garden Inn Bogota Airport,12959007,https://www.tripadvisor.com/Hotel_Review-g294074-d12959007-Reviews-Hilton_Garden_Inn_Bogota_Airport-Bogota.html,"Carrera 82 No. 25G 84, Bogota 110931 Colombia",+1 855-618-4697,RkhTXy9Db21tZXJjZT9wPVRBQkFJbmRlcGVuZGVudEhvdGVscyZzcmM9MTM5OTI3MTcwJmdlbz0xMjk1OTAwNyZmcm9tPUhvdGVsX1JldmlldyZhcmVhPSZzbG90PTImbWF0Y2hJRD0xJm9vcz0wJmNudD0xJnNpbG89MzAzNTYmYnVja2V0PTg5OTQ0MCZucmFuaz0xJmNyYW5rPTEmY2x0PUNMRCZ0dHlwZT1Db250YWN0TGlua0Rlc2t0b3AmdG09MjUxNDMxMTc1Jm1hbmFnZWQ9ZmFsc2UmY2FwcGVkPWZhbHNlJmdvc294PVAxWHpNczJUcHBUakhkdzFUSjBid1NwR0JQTWgzcGhydDVhX01ROU9kZ2tUOEJ6VDVTbTR0eTJFX01WV3dGLVN0VEJKTVdMcURZQjRaTmU1em1aRGI3WXRtZlJVNEk5czBHSmpzcF9DejZjWVItV0h3aTFraHdpeDFZbDI3VVNkJmFkdWx0cz0yJmNoaWxkX3JtX2FnZXM9JmluRGF5PTEmb3V0RGF5PTImcm9vbXM9MSZkYXRlZD10cnVlJmluTW9udGg9MSZpblllYXI9MjAyMyZvdXRNb250aD0xJm91dFllYXI9MjAyMyZkZWZfZD10cnVlJmJhcGlkPTImY3M9MTYwODVhMGQyYjAwZDkzYmU3OWIxZDMyNDI2YTRhOWU4X2Y1Zg==,No,45,#4 of 432 hotels in Bogota,"{'Location': '4.8', 'Cleanliness': '4.9', 'Service': '4.6', 'Value': '4.7'}",1671519576.816957
3. 93 Luxury Suites & Residences,3830242,https://www.tripadvisor.com/Hotel_Review-g294074-d3830242-Reviews-93_Luxury_Suites_Residences-Bogota.html,"Carrera 13A 93-51, Bogota 110221 Colombia",+5717459093,Q3N6Xy9Db21tZXJjZT9wPVRBQkFJbmRlcGVuZGVudEhvdGVscyZzcmM9MCZnZW89MzgzMDI0MiZmcm9tPUhvdGVsX1JldmlldyZhcmVhPSZzbG90PTEmbWF0Y2hJRD0xJm9vcz0wJmNudD0xJnNpbG89MzAzNTYmYnVja2V0PTg3NTE3MSZ1YnVja2V0PTg3NTE3MSZucmFuaz0xJmNyYW5rPTEmY2x0PUNMRCZ0bT0yNTE0MzExNzcmbWFuYWdlZD1mYWxzZSZjYXBwZWQ9ZmFsc2UmZ29zb3g9NV8zWTZVWXd3R2pnd19jN2hFd0lrY005SmF6bW5XQmNtbkhvRF83cVlGQklwQTh6T0pnWmh6cG1aUW1NQUI3LW01VHViUVUtVm90aVFHX2hSb2hwTEEmYWR1bHRzPTImY2hpbGRfcm1fYWdlcz0maW5EYXk9MSZvdXREYXk9MiZyb29tcz0xJmluTW9udGg9MSZpblllYXI9MjAyMyZvdXRNb250aD0xJm91dFllYXI9MjAyMyZkZWZfZD10cnVlJmJhcGlkPTEmY3M9MWI5ZmI4OTM4MmVkYTc5ODhjNmZhMzZhZWNhNmFlMmUzX0l3cw==,Yes,50,#1 of 5 boutique hotels in Bogota,"{'Location': '4.9', 'Cleanliness': '5.0', 'Service': '4.8', 'Value': '4.7'}",1671519579.0659213
4. Hotel Vilar America,659553,https://www.tripadvisor.com/Hotel_Review-g294074-d659553-Reviews-Hotel_Vilar_America-Bogota.html,"Calle 66 8 - 23 Barrio Chapinero, Bogota 110231 Colombia",,,No,45,#51 of 432 hotels in Bogota,"{'Location': '4.4', 'Cleanliness': '4.6', 'Service': '4.5', 'Value': '4.4'}",1671519580.5200088
5. NH Collection Bogota Hacienda Royal,301549,https://www.tripadvisor.com/Hotel_Review-g294074-d301549-Reviews-NH_Collection_Bogota_Hacienda_Royal-Bogota.html,"Calle 114 No 6 - 02, Bogota Colombia",+1 212-245-5462,Q1BTXy9Db21tZXJjZT9wPVRBQkFJbmRlcGVuZGVudEhvdGVscyZzcmM9MTQzMzE4Nzc0Jmdlbz0zMDE1NDkmZnJvbT1Ib3RlbF9SZXZpZXcmYXJlYT0mc2xvdD0xJm1hdGNoSUQ9MSZvb3M9MCZjbnQ9MSZzaWxvPTMwMzU2JmJ1Y2tldD05NjM0MDcmbnJhbms9MSZjcmFuaz0xJmNsdD1DTEQmdHR5cGU9Q29udGFjdExpbmtEZXNrdG9wJnRtPTI1MTQzMTE4MSZtYW5hZ2VkPWZhbHNlJmNhcHBlZD1mYWxzZSZnb3NveD0xMmxYbkExVDBkYWxMSDVkX2NRZnpRc0N5cmlvMHd2WGV6UTFBNVJnMkpDZmtmaWxaZ1Y3eWRTNktoTjdtSjlmTkdpOUk2bnVCUG1YbXVuVDJGN1kyYVFCTV9KX2lYLW0yVHlXSnEyWlZ5VSZhZHVsdHM9MiZjaGlsZF9ybV9hZ2VzPSZpbkRheT0xJm91dERheT0yJnJvb21zPTEmZGF0ZWQ9dHJ1ZSZpbk1vbnRoPTEmaW5ZZWFyPTIwMjMmb3V0TW9udGg9MSZvdXRZZWFyPTIwMjMmZGVmX2Q9dHJ1ZSZiYXBpZD0xJmNzPTE1NzNjZTAyNDkxNTNjNmUyNTU0NGUyOWQ3NzI2MDdhOV8xaHE=,No,45,#3 of 432 hotels in Bogota,"{'Location': '4.7', 'Cleanliness': '4.7', 'Service': '4.8', 'Value': '4.4'}",1671519582.0716283
6. GHL Hotel Capital,307238,https://www.tripadvisor.com/Hotel_Review-g294074-d307238-Reviews-GHL_Hotel_Capital-Bogota.html,"Calle 25b N0 69A-50, Bogota 110421 Colombia",,,No,45,#47 of 432 hotels in Bogota,"{'Location': '4.6', 'Cleanliness': '4.7', 'Service': '4.6', 'Value': '4.4'}",1671519584.138792
7. 101 Park House,307347,https://www.tripadvisor.com/Hotel_Review-g294074-d307347-Reviews-101_Park_House-Bogota.html,"Carrera 21 #101-10, Bogota Colombia",,,No,45,#21 of 432 hotels in Bogota,"{'Location': '4.6', 'Cleanliness': '4.7', 'Service': '4.8', 'Value': '4.4'}",1671519585.765546
8. Wyndham Bogota,5779075,https://www.tripadvisor.com/Hotel_Review-g294074-d5779075-Reviews-Wyndham_Bogota-Bogota.html,"Avenida Calle 24 N 51-40, Bogota 111321 Colombia",(601) 6083000,V0VwXy9Db21tZXJjZT9wPVRBQkFJbmRlcGVuZGVudEhvdGVscyZzcmM9MCZnZW89NTc3OTA3NSZmcm9tPUhvdGVsX1JldmlldyZhcmVhPSZzbG90PTImbWF0Y2hJRD0xJm9vcz0wJmNudD0xJnNpbG89MzAzNTYmYnVja2V0PTg3NTE3MSZ1YnVja2V0PTg3NTE3MSZucmFuaz0xJmNyYW5rPTEmY2x0PUNMRCZ0bT0yNTE0MzExODYmbWFuYWdlZD1mYWxzZSZjYXBwZWQ9ZmFsc2UmZ29zb3g9NV8zWTZVWXd3R2pnd19jN2hFd0lrVU1mRXJkbURtWHNzTHJxckpHdTQ4X1VCeEpISWkzS0N6SElTS3dyZFkwOFBFRk5xYlE2Q2lsMXZFUWV0QUVtcncmYWR1bHRzPTImY2hpbGRfcm1fYWdlcz0maW5EYXk9MSZvdXREYXk9MiZyb29tcz0xJmluTW9udGg9MSZpblllYXI9MjAyMyZvdXRNb250aD0xJm91dFllYXI9MjAyMyZkZWZfZD10cnVlJmJhcGlkPTImY3M9MWVjZmZiMGRkZDg0ZmMwNDU3ODcxMzAxYWY4MjM1NGFjX1N1eg==,Yes,45,#45 of 432 hotels in Bogota,"{'Location': '4.6', 'Cleanliness': '4.7', 'Service': '4.5', 'Value': '4.4'}",1671519587.5807676
9. W Bogota,7181152,https://www.tripadvisor.com/Hotel_Review-g294074-d7181152-Reviews-W_Bogota-Bogota.html,"Avenida Carrera 9 #115 - 30, Bogota 110111 Colombia",+1 844-631-0595,UFYwXy9Db21tZXJjZT9wPU1hcnJpb3R0X0JBJnNyYz0xODM5NjM1NzImZ2VvPTcxODExNTImZnJvbT1Ib3RlbF9SZXZpZXcmYXJlYT0mc2xvdD0xJm1hdGNoSUQ9MSZvb3M9MCZjbnQ9MSZzaWxvPTM4MDU5JmJ1Y2tldD05MzQ4NzImbnJhbms9MSZjcmFuaz0xJmNsdD1DTEQmdHR5cGU9Q29udGFjdExpbmtEZXNrdG9wJnRtPTI1MTQzMTE4OCZtYW5hZ2VkPWZhbHNlJmNhcHBlZD1mYWxzZSZnb3NveD1nM3hNdDlZQ0hCeTNaVWctWXlwc3NlZ2pRdmlIbEpRZzZiLWxuQlBnOTh4X3o5WjBYUDlwamNaaTNSeVJuRU9adV9IOVdBeW05a0dQNl9TSlV4RVgtUGc4NWFkN1B4bUtod29wV0dtVVd5SSZhZHVsdHM9MiZjaGlsZF9ybV9hZ2VzPSZpbkRheT0xJm91dERheT0yJnJvb21zPTEmZGF0ZWQ9dHJ1ZSZpbk1vbnRoPTEmaW5ZZWFyPTIwMjMmb3V0TW9udGg9MSZvdXRZZWFyPTIwMjMmZGVmX2Q9dHJ1ZSZiYXBpZD0xJmNzPTE3NzY2NWFhMWNkMjdmNmMzNDU4OGE4OGUxNGU5NjQ4Yl94b0g=,No,45,#28 of 432 hotels in Bogota,"{'Location': '4.5', 'Cleanliness': '4.8', 'Service': '4.6', 'Value': '4.4'}",1671519590.1412294
10. Hotel Habitel Select,677320,https://www.tripadvisor.com/Hotel_Review-g294074-d677320-Reviews-Hotel_Habitel_Select-Bogota.html,"Av el dorado 100 89, Bogota 110911 Colombia",,,No,40,#95 of 432 hotels in Bogota,"{'Location': '4.5', 'Cleanliness': '4.5', 'Service': '4.3', 'Value': '4.2'}",1671519591.6222644
